code,title
АК1 ,Пилотируемые и автоматические космические аппараты и системы
АК2 ,Моделирование и информационные технологии проектирования ракетно-космических систем
АК3 ,
АК4 ,Системы управления космических аппаратов и ракет
АК5 ,
РКТ1,Системы управления летательными аппаратами
РКТ2,Системы управления летательными аппаратами
РКТ3,Проектирование технологических машин и комплексов
РКТ4,Ракетостроение: технология производства ракетно-космической техники
ФН1 ,Высшая математика
ФН2 ,Прикладная математика
ФН3 ,Теоретическая механика
ФН4 ,Физика
ФН5 ,Химия
ФН7 ,Электротехника и промышленная электроника
ФН11,Вычислительная математика и математическая физика
ФН12,Математическое моделирование
РЛ1 ,Радиоэлектронные системы и устройства
РЛ2 ,Лазерные и оптико-электронные системы
РЛ5 ,Элементы приборных устройств
РЛ6 ,Технологии приборостроения
РК1 ,Инженерная графика
РК2 ,Теория механизмов и машин
РК3 ,Основы конструирования машин
РК4 ,Подъемно-транспортные системы
РК5 ,Прикладная механика
РК6 ,Системы автоматизированного проектирования
РК9 ,Компьютерные системы автоматизации производства
ИБМ1,Экономика и бизнес
ИБМ2,Экономика и организация производства
ИБМ3,Промышленная логистика
ИБМ4,Менеджмент
ИБМ5,Финансы
ИБМ6,Предпринимательство и внешнеэкономическая деятельность
ИБМ7,Инновационное предпринимательство
ИУ1 ,Системы автоматического управления
ИУ2 ,"Приборы и системы ориентации, стабилизации и навигации"
ИУ3 ,Информационные системы и телекоммуникации
ИУ4 ,Проектирование и технология производства электронной аппаратуры
ИУ5 ,Системы обработки информации и управления
ИУ6 ,Компьютерные системы и сети
ИУ7 ,Программное обеспечение ЭВМ и информационные технологии
ИУ8 ,Информационная безопасность
ИУ9 ,Теоретическая информатика и компьютерные технологии
ИУ11,Космические приборы и системы
СМ1 ,Космические аппараты и ракеты-носители
СМ2 ,Аэрокосмические системы
СМ3 ,Динамика и управление полетом ракет и космических аппаратов
СМ4 ,Высокоточные летательные аппараты
СМ5 ,Автономные информационные и управляющие системы
СМ6 ,Ракетные и импульсные системы
СМ7 ,Робототехнические системы и мехатроника
СМ8 ,Стартовые ракетные комплексы
СМ9 ,Многоцелевые гусеничные машины и мобильные роботы
СМ10,Колесные машины
СМ11,Подводные аппараты и роботы
СМ12,Технологии ракетно-космического машиностроения
СМ13,Ракетно-космические композитные конструкции
МТ1 ,Металлорежущие станки
МТ2 ,Инструментальная техника и технологии
МТ3 ,Технологии машиностроения
МТ4 ,Метрология и взаимозаменяемость
МТ5 ,Литейные технологии
МТ6 ,Технологии обработки давлением
МТ7 ,Технологии сварки и диагностики
МТ8 ,Материаловедение
МТ9 ,Промышленный дизайн
МТ10,Оборудование и технологии прокатки
МТ11,Электронные технологии в машиностроении
МТ12,Лазерные технологии в машиностроении
МТ13,Технологии обработки материалов
Э1  ,Ракетные двигатели
Э2  ,Поршневые двигатели
Э3  ,Газотурбинные и нетрадиционные энергоустановки
Э4  ,"Холодильная, криогенная техника системы кондиционирования и жизнеобеспечения"
Э5  ,Вакуумная и компрессорная техника
Э6  ,Теплофизика
Э7  ,Ядерные реакторы и установки
Э8  ,Плазменные энергетические установки
Э9  ,Экология и промышленная безопасность
Э10 ,"Гидромеханика, гидромашины и гидропневмоавтоматика"
Л1  ,Русский язык
Л2  ,Английский язык для приборостроительных специальностей
Л3  ,Английский язык для машиностроительных специальностей
Л4  ,Романо-германские языки
БМТ1,Биомедицинские технические системы
БМТ2,Медико-технические информационные технологии
БМТ4,Медико-технический менеджмент
СГН1,История
СГН2,Социология и культурология
СГН3,Информационная аналитика и политические технологии
СГН4,Философия
ФОФ1,Физическое воспитание
ФОФ2,Здоровьесберегающие технологии и адаптивная физкультура
ЮР  ,"Кафедра ""Юриспруденция, интеллектуальная собственность и судебная экспертиза"""