subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
Линейная алгебра и аналитическая геометрия,ФН1,7,252,85,34,51,0,"1, 2",Зчт
Микроэкономика,ИБМ1,3,108,51,17,34,0,1,Экз
Иностранный язык,Л2,12,432,204,0,204,0,1 - 6,РЭкз
Информатика,ИУ7,8,288,136,17,51,68,"1, 2",Зчт
Математический анализ,ФН1,7,252,119,51,68,0,"1, 2",Экз
История,СГН1,3,108,51,17,34,0,1,Зчт
Физическая культура и спорт,ФВ,2,72,0,0,0,0,"1, 2",
Учебно-технологический практикум по организации производства,МТ13,2,72,34,0,0,34,"1, 2",Зчт
Теория менеджмента,ИБМ4,6,216,68,34,34,0,2,Экз КуР
Макроэкономика,ИБМ1,4,144,68,34,34,0,2,Экз
Институциональная экономика,ИБМ5,5,180,51,17,34,0,3,Экз КуР
Основы теории вероятностей и математической статистики,ФН1,4,144,68,34,34,0,3,Экз
Организация производства,ИБМ2,3,108,51,34,17,0,3,Экз
Учет и анализ,ИБМ5,9,324,119,51,51,17,3 - 5,КуР
Информационные технологии в менеджменте,ИБМ4,4,144,68,0,0,68,"3, 4",Зчт
Правоведение,ЮР,3,108,51,34,17,0,3,Зчт
Методы принятия управленческих решений,ФН1,4,144,68,34,34,0,4,РЭкз
Статистика,ИБМ2,4,144,68,34,17,17,4,Экз
Управление человеческими ресурсами,ИБМ3,3,108,51,17,34,0,5,Зчт
Финансовый менеджмент,ИБМ5,4,144,68,34,34,0,5,Экз
Деловые коммуникации,ИБМ1,3,108,51,17,34,0,5,Экз
Безопасность жизнедеятельности,Э9,3,108,51,17,17,17,5,Зчт
Управление инвестициями,ИБМ5,5,180,68,17,34,17,6,Экз
Лидерство,ИБМ7,4,144,68,34,34,0,6,Экз
Управление проектами,ИБМ2,6,216,68,34,34,0,6,Экз КуР
Философия,СГН4,3,108,51,17,34,0,7,Зчт
Бизнес-планирование и прогнозирование,ИБМ3,5,180,36,12,24,0,8,Зчт КуР
Стратегический менеджмент,ИБМ3,2,72,36,12,24,0,8,Зчт
"Деньги, кредит, банки",ИБМ5,3,108,34,17,17,0,1,Зчт
Финансовая математика,ИБМ5,2,72,34,17,17,0,1,Зчт
Введение в профессию,ИБМ5,2,72,34,17,17,0,1,Зчт
Корпоративные финансы,ИБМ5,4,144,68,34,34,0,2,Экз
Финансово-исследовательский практикум,ИБМ5,6,216,102,0,0,102,2 - 7,Зчт
Русский язык делового общения,Л1,2,72,17,0,17,0,2,Зчт
Страхование,ИБМ5,3,108,51,17,34,0,3,Зчт
Финансы предприятия,ИБМ5,6,216,68,34,34,0,4,Экз КуР
Маркетинг,ИБМ3,2,72,34,17,17,0,4,Зчт
Проблемы международной торговли и развития,ИБМ5,3,108,51,17,17,17,5,Зчт
Логистика,ИБМ3,3,108,51,17,34,0,6,Зчт
Управление финансовыми наукоёмкими технологиями,ИБМ5,3,108,51,17,17,17,7,Экз
Модели прогнозирования финансового развития предприятия,ИБМ5,4,144,68,34,34,0,7,Экз
Рынок ценных бумаг,ИБМ5,3,108,51,17,17,17,7,Экз
Математические методы в управлении финансами,ИБМ5,5,180,51,17,34,0,7,Зчт КуР
Системное руководство организацией,ИБМ5,2,72,36,12,24,0,8,Зчт
Дисциплина по выбору №1,,0,328,0,0,0,0,1 - 6,Зчт
Элективный курс по физической культуре и спорту,ФВ,,,,,,,,
Дисциплина по выбору №2,,3,108,34,17,0,17,3,Зчт
Организация банковского обслуживания,ИБМ5,,,,,,,,
Банковское дело,ИБМ5,,,,,,,,
Дисциплина по выбору №3,,3,108,51,17,34,0,4,Зчт
Социология,СГН2,,,,,,,,
Культурология,СГН2,,,,,,,,
Дисциплина по выбору №6,,3,108,51,17,17,17,5,Зчт
Налоги и налоговое планирование,ИБМ5,,,,,,,,
Налоговый учёт,ИБМ5,,,,,,,,
Дисциплина по выбору №4,,3,108,51,17,34,0,5,Зчт
Управление финансовыми технологиями мирового рынка,ИБМ5,,,,,,,,
Управление филиальной сетью банка,ИБМ5,,,,,,,,
Дисциплина по выбору №5,,3,108,34,17,17,0,5,Экз
Анализ и диагностика финансово- хозяйственной деятельности предприятия,ИБМ5,,,,,,,,
Международые стандарты финансовой отчетности,ИБМ5,,,,,,,,
Дисциплина по выбору №8,,3,108,51,17,34,0,6,Зчт
Основы актуариата,ИБМ5,,,,,,,,
Финансовые институты и рынки,ИБМ5,,,,,,,,
Дисциплина по выбору №7,,3,108,51,17,34,0,6,Экз
Анализ финансового состояния предприятия,ИБМ5,,,,,,,,
Аудит,ИБМ5,,,,,,,,
Дисциплина по выбору №12,,3,108,34,17,17,0,7,Зчт
Имитационное моделирование,ИБМ5,,,,,,,,
Финансовая эконометрика,ИБМ5,,,,,,,,
Дисциплина по выбору №9,,3,108,51,17,17,17,7,Экз
Управление инвестициями,ИБМ5,,,,,,,,
Инвестиционный анализ,ИБМ5,,,,,,,,
Дисциплина по выбору №10,,2,72,34,17,17,0,7,Зчт
Система обязательного медицинского страхования,ИБМ5,,,,,,,,
Модели управления лечебно- профилактическим учреждением,ИБМ5,,,,,,,,
Дисциплина по выбору №11,,2,72,34,17,17,0,7,Зчт
Управленческая этика,ИБМ5,,,,,,,,
Управление интеллектуальным капиталом,ИБМ5,,,,,,,,
Дисциплина по выбору №13,,2,72,36,12,24,0,8,Зчт
Бухгалтерский учет и анализ,ИБМ5,,,,,,,,
Финансовый учёт,ИБМ5,,,,,,,,
Дисциплина по выбору №14,,2,72,36,12,24,0,8,Зчт
Управление оборотным капиталом,ИБМ5,,,,,,,,
Финансирование текущей деятельности предприятия,ИБМ5,,,,,,,,
Дисциплина по выбору №15,,2,72,36,12,24,0,8,Зчт
Финансовые институты и рынки,ИБМ5,,,,,,,,
Производные финансовые инструменты,ИБМ5,,,,,,,,
"Практика по получению первичных профессиональных умений и навыков, в том числе превичных умений и навыков научно- исследовательской деятельности",ИБМ5,3,108,0,0,0,0,4,ДЗчт