"faculty","departmentNumber","cipher","title"
"ФН"   ,1               ,"ФН1"  ,"Высшая математика"
"ФН"   ,2               ,"ФН2"  ,"Прикладная математика"
"ФH"   ,3               ,"ФH3"  ,"Теоретическая механика"
"ФH"   ,4               ,"ФH4"  ,"Физика"
"ФH"   ,5               ,"ФH5"  ,"Химия"
"ФН"   ,7               ,"ФН7"  ,"Электротехника и промышленная электроника"
"ФH"   ,11              ,"ФH11" ,"Вычислительная математика и математическая физика"
"ФH"   ,12              ,"ФH12" ,"Математическое моделирование"
"МТ"   ,1               ,"МТ1"  ,"Металлорежущие станки"
"МТ"   ,2               ,"МТ2"  ,"Инструментальная техника и технологии"
"МТ"   ,3               ,"МТ3"  ,"Технологии машиностроения"
"МТ"   ,4               ,"МТ4"  ,"Метрология и взаимозаменяемость"
"МТ"   ,5               ,"МТ5"  ,"Литейные технологии"
"МТ"   ,6               ,"МТ6"  ,"Технологии обработки давлением"
"МТ"   ,7               ,"МТ7"  ,"Технологии сварки и диагностики"
"МТ"   ,8               ,"МТ8"  ,"Материаловедение"
"МТ"   ,9               ,"МТ9"  ,"Промышленный дизайн"
"МТ"   ,10              ,"МТ10" ,"Оборудование и технологии прокатки"
"МТ"   ,11              ,"МТ11" ,"Электронные технологии в машиностроении"
"МТ"   ,12              ,"МТ12" ,"Лазерные технологии в машиностроении"
"МТ"   ,13              ,"МТ13" ,"Технологии обработки материалов"
"Э"    ,1               ,"Э1"   ,"Ракетные двигатели"
"Э"    ,2               ,"Э2"   ,"Поршневые двигатели"
"Э"    ,3               ,"Э3"   ,"Газотурбинные и нетрадиционные энергоустановки"
"Э"    ,4               ,"Э4"   ,"Холодильная, криогенная техника системы кондиционирования и жизнеобеспечения"
"Э"    ,5               ,"Э5"   ,"Вакуумная и компрессорная техника"
"Э"    ,6               ,"Э6"   ,"Теплофизика"
"Э"    ,7               ,"Э7"   ,"Ядерные реакторы и установки"
"Э"    ,8               ,"Э8"   ,"Плазменные энергетические установки"
"Э"    ,9               ,"Э9"   ,"Экология и промышленная безопасность"
"Э"    ,10              ,"Э10"  ,"Гидромеханика, гидромашины и гидропневмоавтоматика"
"СМ"   ,1               ,"СМ1"  ,"Космические аппараты и ракеты-носители"
"CМ"   ,2               ,"CМ2"  ,"Аэрокосмические системы"
"CМ"   ,3               ,"CМ3"  ,"Динамика и управление полетом ракет и космических аппаратов"
"CМ"   ,4               ,"CМ4"  ,"Высокоточные летательные аппараты"
"CМ"   ,5               ,"CМ5"  ,"Автономные информационные и управляющие системы"
"CМ"   ,6               ,"CМ6"  ,"Ракетные и импульсные системы"
"CМ"   ,7               ,"CМ7"  ,"Специальная робототехника и мехатроника"
"СМ"   ,8               ,"СМ8"  ,"Стартовые ракетные комплексы"
"CМ"   ,9               ,"CМ9"  ,"Многоцелевые гусеничные машины и мобильные роботы"
"CМ"   ,10              ,"CМ10" ,"Колесные машины"
"CМ"   ,11              ,"CМ11" ,"Подводные роботы и аппараты"
"CМ"   ,12              ,"CМ12" ,"Технологии ракетно-космического машиностроения"
"CМ"   ,13              ,"CМ13" ,"Ракетно-космические композиционные конструкции"
"РК"   ,1               ,"РК1"  ,"Инженерная графика"
"РК"   ,2               ,"РК2"  ,"Теория механизмов и машин"
"РК"   ,3               ,"РК3"  ,"Основы конструирования машин"
"РК"   ,4               ,"РК4"  ,"Подъемно-транспортные системы"
"РК"   ,5               ,"РК5"  ,"Прикладная механика"
"РК"   ,6               ,"РК6"  ,"Системы автоматизированного проектирования"
"РК"   ,9               ,"РК9"  ,"Компьютерные системы автоматизации производства"
"РЛ"   ,1               ,"РЛ1"  ,"Радиоэлектронные системы и устройства"
"РЛ"   ,2               ,"РЛ2"  ,"Лазерные и оптико-электронные системы"
"РЛ"   ,5               ,"РЛ5"  ,"Элементы приборных устройств"
"РЛ"   ,6               ,"РЛ6"  ,"Технологии приборостроения"
"ИУ"   ,1               ,"ИУ1"  ,"Системы автоматического управления"
"ИУ"   ,2               ,"ИУ2"  ,"Приборы и системы ориентации, стабилизации и навигации"
"ИУ"   ,3               ,"ИУ3"  ,"Информационные системы и телекоммуникации"
"ИУ"   ,4               ,"ИУ4"  ,"Конструирование и производство электронной аппаратуры"
"ИУ"   ,5               ,"ИУ5"  ,"Системы обработки информации и управления"
"ИУ"   ,6               ,"ИУ6"  ,"Компьютерные системы и сети"
"ИУ"   ,7               ,"ИУ7"  ,"Программное обеспечение ЭВМ и информационные технологии"
"ИУ"   ,8               ,"ИУ8"  ,"Информационная безопасность"
"ИУ"   ,9               ,"ИУ9"  ,"Теоретическая информатика и компьютерные технологии"
"ИУ"   ,11              ,"ИУ11" ,"Космические приборы и системы"
"Л"    ,1               ,"Л1"   ,"Русский язык"
"Л"    ,2               ,"Л2"   ,"Английский язык для приборостроительных специальностей"
"Л"    ,3               ,"Л3"   ,"Английский язык для машиностроительных специальностей"
"Л"    ,4               ,"Л4"   ,"Романо-германские языки"
"БМТ"  ,1               ,"БМТ1" ,"Биомедицинские технические системы"
"БМТ"  ,2               ,"БМТ2" ,"Медико-технические информационные технологии"
"БМТ"  ,4               ,"БМТ4" ,"Медико-технический менеджмент"
"ИБМ"  ,1               ,"ИБМ1" ,"Экономическая теория"
"ИБМ"  ,2               ,"ИБМ2" ,"Экономика и организация производства"
"ИБМ"  ,3               ,"ИБМ3" ,"Промышленная логистика"
"ИБМ"  ,4               ,"ИБМ4" ,"Менеджмент"
"ИБМ"  ,5               ,"ИБМ5" ,"Финансы"
"ИБМ"  ,6               ,"ИБМ6" ,"Предпринимательство и внешнеэкономическая деятельность"
"ИБМ"  ,7               ,"ИБМ7" ,"Инновационное предпринимательство"
"СГН"  ,1               ,"СГН1" ,"История"
"СГН"  ,2               ,"СГН2" ,"Социология и культурология"
"СГН"  ,3               ,"СГН3" ,"Информационная аналитика и политические технологии"
"СГН"  ,4               ,"СГН4" ,"Философия"
"ЮР"   ,1               ,"ЮР"   ,"Кафедра ""Юриспруденция, интеллектуальная собственность и судебная экспертиза"""
"ФОФ"  ,1               ,"ФОФ-1","Физическое воспитание"
"ФОФ"  ,2               ,"ФОФ-2","Здоровьесберегающие технологии и адаптивная физкультура"
"ФН"   ,1               ,"ФН1"  ,"Высшая математика"
"ФН"   ,2               ,"ФН2"  ,"Прикладная математика"
"ФH"   ,3               ,"ФH3"  ,"Теоретическая механика"
"ФH"   ,4               ,"ФH4"  ,"Физика"
"ФH"   ,5               ,"ФH5"  ,"Химия"
"ФН"   ,7               ,"ФН7"  ,"Электротехника и промышленная электроника"
"ФH"   ,11              ,"ФH11" ,"Вычислительная математика и математическая физика"
"ФH"   ,12              ,"ФH12" ,"Математическое моделирование"
"МТ"   ,1               ,"МТ1"  ,"Металлорежущие станки"
"МТ"   ,2               ,"МТ2"  ,"Инструментальная техника и технологии"
"МТ"   ,3               ,"МТ3"  ,"Технологии машиностроения"
"МТ"   ,4               ,"МТ4"  ,"Метрология и взаимозаменяемость"
"МТ"   ,5               ,"МТ5"  ,"Литейные технологии"
"МТ"   ,6               ,"МТ6"  ,"Технологии обработки давлением"
"МТ"   ,7               ,"МТ7"  ,"Технологии сварки и диагностики"
"МТ"   ,8               ,"МТ8"  ,"Материаловедение"
"МТ"   ,9               ,"МТ9"  ,"Промышленный дизайн"
"МТ"   ,10              ,"МТ10" ,"Оборудование и технологии прокатки"
"МТ"   ,11              ,"МТ11" ,"Электронные технологии в машиностроении"
"МТ"   ,12              ,"МТ12" ,"Лазерные технологии в машиностроении"
"МТ"   ,13              ,"МТ13" ,"Технологии обработки материалов"
"Э"    ,1               ,"Э1"   ,"Ракетные двигатели"
"Э"    ,2               ,"Э2"   ,"Поршневые двигатели"
"Э"    ,3               ,"Э3"   ,"Газотурбинные и нетрадиционные энергоустановки"
"Э"    ,4               ,"Э4"   ,"Холодильная, криогенная техника системы кондиционирования и жизнеобеспечения"
"Э"    ,5               ,"Э5"   ,"Вакуумная и компрессорная техника"
"Э"    ,6               ,"Э6"   ,"Теплофизика"
"Э"    ,7               ,"Э7"   ,"Ядерные реакторы и установки"
"Э"    ,8               ,"Э8"   ,"Плазменные энергетические установки"
"Э"    ,9               ,"Э9"   ,"Экология и промышленная безопасность"
"Э"    ,10              ,"Э10"  ,"Гидромеханика, гидромашины и гидропневмоавтоматика"
"СМ"   ,1               ,"СМ1"  ,"Космические аппараты и ракеты-носители"
"CМ"   ,2               ,"CМ2"  ,"Аэрокосмические системы"
"CМ"   ,3               ,"CМ3"  ,"Динамика и управление полетом ракет и космических аппаратов"
"CМ"   ,4               ,"CМ4"  ,"Высокоточные летательные аппараты"
"CМ"   ,5               ,"CМ5"  ,"Автономные информационные и управляющие системы"
"CМ"   ,6               ,"CМ6"  ,"Ракетные и импульсные системы"
"CМ"   ,7               ,"CМ7"  ,"Специальная робототехника и мехатроника"
"СМ"   ,8               ,"СМ8"  ,"Стартовые ракетные комплексы"
"CМ"   ,9               ,"CМ9"  ,"Многоцелевые гусеничные машины и мобильные роботы"
"CМ"   ,10              ,"CМ10" ,"Колесные машины"
"CМ"   ,11              ,"CМ11" ,"Подводные роботы и аппараты"
"CМ"   ,12              ,"CМ12" ,"Технологии ракетно-космического машиностроения"
"CМ"   ,13              ,"CМ13" ,"Ракетно-космические композиционные конструкции"
"РК"   ,1               ,"РК1"  ,"Инженерная графика"
"РК"   ,2               ,"РК2"  ,"Теория механизмов и машин"
"РК"   ,3               ,"РК3"  ,"Основы конструирования машин"
"РК"   ,4               ,"РК4"  ,"Подъемно-транспортные системы"
"РК"   ,5               ,"РК5"  ,"Прикладная механика"
"РК"   ,6               ,"РК6"  ,"Системы автоматизированного проектирования"
"РК"   ,9               ,"РК9"  ,"Компьютерные системы автоматизации производства"
"РЛ"   ,1               ,"РЛ1"  ,"Радиоэлектронные системы и устройства"
"РЛ"   ,2               ,"РЛ2"  ,"Лазерные и оптико-электронные системы"
"РЛ"   ,5               ,"РЛ5"  ,"Элементы приборных устройств"
"РЛ"   ,6               ,"РЛ6"  ,"Технологии приборостроения"
"ИУ"   ,1               ,"ИУ1"  ,"Системы автоматического управления"
"ИУ"   ,2               ,"ИУ2"  ,"Приборы и системы ориентации, стабилизации и навигации"
"ИУ"   ,3               ,"ИУ3"  ,"Информационные системы и телекоммуникации"
"ИУ"   ,4               ,"ИУ4"  ,"Конструирование и производство электронной аппаратуры"
"ИУ"   ,5               ,"ИУ5"  ,"Системы обработки информации и управления"
"ИУ"   ,6               ,"ИУ6"  ,"Компьютерные системы и сети"
"ИУ"   ,7               ,"ИУ7"  ,"Программное обеспечение ЭВМ и информационные технологии"
"ИУ"   ,8               ,"ИУ8"  ,"Информационная безопасность"
"ИУ"   ,9               ,"ИУ9"  ,"Теоретическая информатика и компьютерные технологии"
"ИУ"   ,11              ,"ИУ11" ,"Космические приборы и системы"
"Л"    ,1               ,"Л1"   ,"Русский язык"
"Л"    ,2               ,"Л2"   ,"Английский язык для приборостроительных специальностей"
"Л"    ,3               ,"Л3"   ,"Английский язык для машиностроительных специальностей"
"Л"    ,4               ,"Л4"   ,"Романо-германские языки"
"БМТ"  ,1               ,"БМТ1" ,"Биомедицинские технические системы"
"БМТ"  ,2               ,"БМТ2" ,"Медико-технические информационные технологии"
"БМТ"  ,4               ,"БМТ4" ,"Медико-технический менеджмент"
"ИБМ"  ,1               ,"ИБМ1" ,"Экономическая теория"
"ИБМ"  ,2               ,"ИБМ2" ,"Экономика и организация производства"
"ИБМ"  ,3               ,"ИБМ3" ,"Промышленная логистика"
"ИБМ"  ,4               ,"ИБМ4" ,"Менеджмент"
"ИБМ"  ,5               ,"ИБМ5" ,"Финансы"
"ИБМ"  ,6               ,"ИБМ6" ,"Предпринимательство и внешнеэкономическая деятельность"
"ИБМ"  ,7               ,"ИБМ7" ,"Инновационное предпринимательство"
"СГН"  ,1               ,"СГН1" ,"История"
"СГН"  ,2               ,"СГН2" ,"Социология и культурология"
"СГН"  ,3               ,"СГН3" ,"Информационная аналитика и политические технологии"
"СГН"  ,4               ,"СГН4" ,"Философия"
"ЮР"   ,1               ,"ЮР"   ,"Кафедра ""Юриспруденция, интеллектуальная собственность и судебная экспертиза"""
"ФОФ"  ,1               ,"ФОФ-1","Физическое воспитание"
"ФОФ"  ,2               ,"ФОФ-2","Здоровьесберегающие технологии и адаптивная физкультура"