specCode,departments
"01.03.02","ИУ9"
"01.03.04","ФН2"
"02.03.01","ФН11;ГУИМЦ;ИУ5"
"09.03.01","ИУ6;РК6"
"09.03.02","ИУЗ"
"09.03.04","ИУ7"
"11.03.03","ИУ4"
"11.03.04","МТ11"
"12.03.02","РЛ3;БМТ1"
"12.03.04","БМТ2"
"12.03.05","РЛ2;Э2"
"13.03.03","Э10"
"14.03.01","Э6;МТ5"
"15.03.01","МТ6;МТ13"
"15.03.02","Э5"
"15.03.03","РК5;ГУИМЦ"
"15.03.04","РК9"
"15.03.05","МТ1"
"15.03.06","РК10;МТ1;МТ2;МТЗ;МТ5"
"15.05.01","МТ6;МТ7;МТ10;МТ12;МТЗ;Э5"
"16.03.01","ФН4"
"16.03.02","Э8"
"16.03.03","Э4"
"16.05.01","Э4"
"20.03.01","Э9"
"22.03.01","ГУИМЦ;МТ8"
"23.05.01","РК4;СМ10"
"24.03.01","СМ13;СМ1;СМ12"
"24.05.01","СМ2;Э1"
"24.05.02","Э3;Э8"
"24.05.04","СМ3;ИУ1"
"24.05.06","ИУ2;ГУИМЦ"
"27.03.01","МТ4;ИБМ2;ИБМЗ;ИБМ4"
"27.03.05","ИБМ5;ИБМ6;ИБМ7;МТ11"
"28.03.02","РЛ6;ИБМ1"
"38.03.01","ИБМ5;ИБМ1;ИБМЗ"
"38.03.02","ИБМ5;ИБМ6;ИБМ7"
"38.03.05","ИБМ6"
"40.05.03","Юр"